donor_id,donor_name,structure_acronym,mip_1a_pg_per_mg,rantes_pg_per_mg
309335469,H14.09.032,PCx,25.34,80.78
309335485,H14.09.048,HIP,58.08,8.58
309335448,H14.09.011,TCx,,
467056408,H15.09.109,HIP,44.83,24.38
309335454,H14.09.017,TCx,8.16,26.12
326765672,H14.09.085,HIP,33.02,13.02
326765686,H14.09.099,TCx,,
326765663,H14.09.076,PCx,22.9,151.16
326765668,H14.09.081,PCx,12.8,22.5
309335474,H14.09.037,PCx,18.52,87.54
309335493,H14.09.056,TCx,30.56,337.66
326765678,H14.09.091,FWM,9.74,35.86
326765684,H14.09.097,TCx,5.84,23.98
309335460,H14.09.023,TCx,2.92,17.38
309335443,H14.09.006,TCx,2.92,27.42
326765669,H14.09.082,PCx,13.82,34.3
309335439,H14.09.002,FWM,12.94,52.9
309335465,H14.09.028,FWM,5.46,4.88
326765674,H14.09.087,HIP,31.02,19.12
326765685,H14.09.098,PCx,8.92,24.6
309335460,H14.09.023,FWM,0,4.92
326765659,H14.09.072,PCx,9.84,46.02
326765657,H14.09.070,HIP,7.62,12.4
326765655,H14.09.068,HIP,31.9,18.56
467056406,H15.09.107,PCx,9.02,44.74
326765676,H14.09.089,PCx,23.06,117.46
309335468,H14.09.031,PCx,26.88,196.08
309335450,H14.09.013,PCx,10.42,50.26
326765655,H14.09.068,PCx,9.6,35.74
309335454,H14.09.017,PCx,9.46,34.5
309335449,H14.09.012,TCx,22.82,194.46
309335488,H14.09.051,HIP,,
309335471,H14.09.034,PCx,,
309335454,H14.09.017,FWM,5.42,31.04
309335466,H14.09.029,HIP,151.8,23.54
309335441,H14.09.004,HIP,16.3,5.9
326765656,H14.09.069,FWM,0,7.02
326765687,H14.09.100,FWM,2.64,17.58
326765663,H14.09.076,HIP,60.02,23.3
309335486,H14.09.049,TCx,15.82,72.76
309335459,H14.09.022,PCx,6.84,21.48
309335487,H14.09.050,HIP,17.98,5.94
309335450,H14.09.013,TCx,,
467056408,H15.09.109,FWM,17.36,99.33
309335485,H14.09.048,TCx,11.48,59.68
326765661,H14.09.074,PCx,,
309335438,H14.09.001,HIP,51.08,22.04
326765685,H14.09.098,TCx,6.44,27.22
309335443,H14.09.006,FWM,1.67,26.18
326765682,H14.09.095,FWM,,
309335443,H14.09.006,PCx,14.44,100.65
326765677,H14.09.090,PCx,4.19,15.16
309335468,H14.09.031,FWM,22.46,158.58
326765685,H14.09.098,FWM,9.74,31.82
309335463,H14.09.026,TCx,10.32,27.24
326765654,H14.09.067,HIP,49.36,7.58
309335480,H14.09.043,TCx,9.56,36.4
326765654,H14.09.067,PCx,6.14,12.32
309335492,H14.09.055,HIP,13.36,12.22
326765648,H14.09.061,HIP,9.1,11.22
309335490,H14.09.053,FWM,16.26,64.78
326765667,H14.09.080,FWM,26.18,102
309335489,H14.09.052,PCx,16.92,57.28
309335491,H14.09.054,HIP,7.3,10.7
326765661,H14.09.074,FWM,,
309335471,H14.09.034,FWM,,
326765675,H14.09.088,PCx,10.52,18.16
309335474,H14.09.037,HIP,96.04,19.52
326765683,H14.09.096,PCx,9.74,41.8
309335467,H14.09.030,PCx,6.81,5.16
326765668,H14.09.081,HIP,19.72,4.56
309335441,H14.09.004,FWM,5.3,15.5
326765653,H14.09.066,PCx,,
309335452,H14.09.015,HIP,17.82,5.94
309335489,H14.09.052,HIP,21.96,7.62
309335458,H14.09.021,PCx,0,4.88
309335494,H14.09.057,TCx,8.82,39.64
,,,,
,,,,
